Date: 4/29/2025
Date/Time	Identifier	Cat amount	Weight loading	Bed length	HT1 sp	HT1 pv	HT2 sp	HT2 pv	HT3 sp	HT3 pv	Oven SP	Oven RMP	Oven PV	Oven OP%	MFC Ar sp	MFC Ar pv	MFC CO sp	MFC CO pv	MFC H2 sp	MFC H2 pv	MFC He sp	MFC He pv	MFC O2 sp	MFC O2 pv	MFC N2 sp	MFC N2 pv	MFC CO2 sp	MFC CO2 pv	MFM	MFC Call sp	MFC Call pv	Prepressure 1	Prepressure 2	Prepressure 3	Prepressure 4	Prepressure 5	Prepressure 6	Pressure R1	Pressure R2	BPC T-SP	BPC RMP	BPC A-SP	Valve 1	Valve 2	Valve 3	Valve 4	Valve 5	Valve 6	Valve 7	Valve 8	Valve 9	Valve 10
29-Apr-2025 00:02:13	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	56.00	3.00	2.98	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.98	0.00	0.00	41.10	0.00	0.28	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:18	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	31.00	3.00	3.06	10.00	10.06	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	41.91	0.00	0.25	30.64	31.53	28.95	23.42	-0.01	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:23	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.05	10.00	10.01	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.95	0.00	0.00	41.95	0.00	0.29	30.64	31.53	28.95	23.41	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:28	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.97	10.00	9.95	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	41.90	0.00	0.32	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:33	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.02	10.00	10.04	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	42.08	0.00	0.30	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:38	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.04	10.00	10.05	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	39.37	0.00	0.14	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:43	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	6.00	3.00	3.00	10.00	10.07	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.92	0.00	0.00	42.83	0.00	0.25	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:48	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	54.00	3.00	3.13	10.00	9.93	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	39.18	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:53	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	44.00	3.00	2.91	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.06	0.00	0.00	42.09	0.00	0.29	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:58	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	53.00	3.00	2.91	10.00	10.07	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.96	0.00	0.00	38.23	0.00	0.28	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:03	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.12	10.00	10.01	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	40.86	0.00	0.21	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:08	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.95	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.04	0.00	0.00	42.81	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:13	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.98	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.01	0.00	0.00	41.62	0.00	0.30	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:18	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.91	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	42.41	0.00	0.21	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:23	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	4.00	3.00	3.08	10.00	10.03	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.98	0.00	0.00	40.16	0.00	0.29	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:28	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	24.00	3.00	3.18	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	38.67	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:33	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	45.00	3.00	3.07	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	42.26	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:38	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	47.00	3.00	3.02	10.00	10.09	20.00	20.01	0.00	0.00	0.00	0.00	7.00	6.92	0.00	0.00	38.27	0.00	0.28	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:43	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	31.00	3.00	2.97	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.01	0.00	0.00	42.96	0.00	0.25	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:48	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	4.00	3.00	2.95	10.00	10.04	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.07	0.00	0.00	38.67	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:03:53	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.97	10.00	10.01	20.00	19.99	0.00	0.00	0.00	0.00	7.00	6.93	0.00	0.00	40.20	0.00	0.26	30.64	31.53	28.95	23.41	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
